sk	M	a	lng	mx
177	1	1.01215394158496	16	-7.96385303697257
178	10	1.04795807671044	37	-7.440639597494
182	10	1.0487027937399	33	-7.53553473504094
184	1000	1.12584091396001	87	-5.79330174099333
186	100	1.11833774178399	79	-6.15256266705988
187	1000	1.1883754179459	120	-3.11880557734142
188	100	1.05610559866517	31	-7.55567418142164
190	1	1.02433947993594	14	-7.93577710136141
191	1000	1.05838965422426	30	-7.59044146940391
192	10	1.06331526652466	32	-7.52928112161279
193	100	1.21180381205828	132	-1.67416801647537
195	1000	1.10419306204047	68	-6.79928282581129
196	1000	1.01930800025739	8	-7.98893798863832
198	10	1.01521689971153	6	-8.00444759023217
199	1	1.10425658356349	72	-6.7496310619553
202	100	1.16949481772122	112	-3.41023621770022
203	1	1.10385396970357	76	-6.54682840625596
206	1000	1.04575271474337	26	-7.8005992656016
207	1	1.08872717067531	71	-6.77517755726643
210	1	1.1120049008582	86	-5.4628720475333
211	100	1.06933846334256	63	-7.15376101810778
215	10	1.05872819927555	59	-7.25996935870938
217	1	1.0251294402297	23	-7.91013088360258
218	100	1.11914960579266	93	-4.56365256710654
221	1	1.11167163318881	88	-4.85565825253413
222	1	1.06998505541824	65	-6.59643760015417
224	1	1.03869472891817	46	-7.56878830670221
225	1000	1.05280723634095	55	-7.15387237605078
227	100	1.05233292565133	54	-7.15236086643579
229	10	1.07414152639612	63	-6.40410713530431
230	100	1.04770884460547	49	-7.28403613463448
232	1	1.21750339953708	137	-0.371305117574389
233	100	1.04576218442308	46	-7.34163209756321
234	1000	1.03544220549695	40	-7.59740343178511
235	10	1.00380339167545	5	-8.02225585570959
237	10	1.02815681360816	33	-7.75814408683222
240	10	1.0756437660932	53	-6.60378365128948
242	10	1.0930600430788	60	-6.15848377094299
246	10	1.22871957724396	129	-1.35141775485693
250	10	1.10885275696954	60	-6.14880335126793
251	1000	1.1041754629614	56	-6.32805311452586
252	100	1.02218685216963	19	-7.89752257023063
253	100	1.02745070976039	21	-7.8460272204333
258	1	1.01756404007254	11	-7.9694850614581
261	1	1.01973523094929	10	-7.96882104903444
262	1	1.24668273388351	127	-2.03664700904375
263	1000	1.04511535644321	18	-7.78512739474167
264	100	1.0870081008781	33	-7.30309182599711
268	100	1.01313454782358	4	-8.01357566459665
269	1	1.11335338671527	50	-7.05549447334833
271	10	1.14787257747674	69	-6.20084229367505
275	100	1.13075132639823	65	-6.40651570492135
277	1	1.05006526824695	17	-7.85171745473028
280	10	1.03393797422525	12	-7.94719365063704
283	10	1.01737807907456	5	-8.00811713832482
284	1	1.24614086292995	195	-0.0571724550343467
287	1	1.04263031001998	36	-7.71150231469104
288	1000	1.05495529675136	44	-7.37264006966285
289	1000	1.06267754129267	48	-7.11153285526321
291	10	1.10754303896934	73	-5.64433431250317
292	100	1.05026475490871	42	-7.34458215542392
293	1000	1.07620016701961	54	-6.61891065777919
294	1000	1.06884632820685	49	-6.84395281430096
295	1	1.05447825408084	42	-7.20986537649992
297	1	1.14625071234416	121	-4.54222449353655
298	100	1.01925760278735	23	-7.90180757739389
303	1	1.00392432549755	5	-8.02225828086799
304	100	1.14402276728173	112	-5.2342047551171
305	1	1.06817803227599	38	-7.14398278957803
306	10	1.02011531121417	17	-7.91247909581725
308	1000	1.07889051145279	40	-7.06842572359399
310	10	1.11861487796457	65	-6.38105698504547
311	1000	1.20181486655309	164	-2.7014795749563
312	1000	1.0399860849922	20	-7.77909831103737
315	1	1.03353750717176	15	-7.88186564285236
319	10	1.0159583659288	6	-8.00342877830352
320	1	1.06116089229814	21	-7.71190526947776
323	1	1.16524958661792	146	-4.0273502329246
325	100	1.02770224190864	7	-7.9778697898701
326	1000	1.02317392399546	6	-7.99407351021242
329	1000	1.11473250958739	126	-5.65543396243224
332	100	1.06527968717055	74	-7.61374702308143
335	1	1.03435651993008	20	-7.9115787386989
336	1	1.09228540724783	133	-4.52287665426578
337	100	1.0323209522474	31	-7.89258192212539
340	10	1.02743703821638	57	-7.87632929048347
342	100	1.0910643668027	144	-3.01203717129828
343	100	1.03138048430348	91	-7.36313943886827
344	10	1.06009893346594	121	-5.13018096793993
347	1000	1.0627764548834	124	-4.6569341581158
356	1	1.06470873806769	119	-4.39918714007283
362	1000	1.00471752707819	47	-7.96153919374733
364	100	1.11403206726166	149	-1.35607955033888
370	10	1.0856736607698	117	-3.78486361913349
371	1	1.01021456355609	54	-7.79696892306704
374	1000	1.09389540130928	118	-3.57193098345677
375	10	1.06489926448083	95	-5.2854818217317
376	1000	1.08164962269326	106	-4.41134275789167
378	10	1.10475548812499	120	-3.26208236618665
380	100	1.06353459006338	88	-5.61616142435614
383	1	1.07259966483424	89	-5.36887551639543
385	100	1.01546454391628	46	-7.72338959340214
388	10	1.14638726255868	134	-2.01899790804921
396	1	1.17793548487096	143	-1.35167481567254
399	1000	1.13263428047597	106	-3.98580574291733
401	1000	1.04306695446496	46	-7.28636008720171
402	1	1.04034052911048	43	-7.39088725299667
403	1000	1.00195913510048	6	-8.02367428364929
