sk	M	a	lng	mx
1	100	1	107	0
5	100	1.01427768486659	58	-7.53322586907084
6	1	1.12473865039287	137	-1.98857435681801
8	100	1.07965083882226	99	-4.57556826027865
9	1000	1.12365270741551	131	-2.39398403378563
12	10	1.05789328346094	76	-5.88063327561452
14	100	1.04839631695423	68	-6.3757982951656
16	1	1.1352879978284	127	-2.61707246635306
17	1000	1.02218939221457	49	-7.44713957931898
19	1	1.13476251370331	122	-3.01149038738283
21	10	1.05817530657222	63	-6.34470095477235
24	1000	1.20185609343319	164	-0.250930222973554
27	1	1.04864217775883	50	-6.94994228905265
29	100	1.13710402412028	106	-4.13001425170834
32	1000	1.07160275025332	54	-6.56106172931835
33	1	1.10338771560864	72	-5.71204324016191
34	1	1.02565161305241	29	-7.69177551606428
36	100	1.01909582828217	23	-7.82557031011093
38	1	1.04608742463664	33	-7.42241177400758
39	100	1.04911406331105	33	-7.40618422652822
41	1	1.01932673618409	18	-7.87711925035679
43	10	1.1383388095407	83	-5.61975530385315
44	100	1.14670912206494	88	-5.48402269163599
45	1	1.09974591797264	50	-6.70769839502111
47	10	1.15587663104974	91	-5.46412819082088
48	1000	1.18903115045358	114	-4.22815467091842
49	10	1.21380738109361	135	-2.89542267334779
50	1000	1.09570526393183	43	-7.04641399485867
52	10	1.07948468195102	32	-7.37238718073856
57	10	1.14283674605479	84	-6.14925815513067
60	10	1.11800134730962	71	-6.76522745733779
62	1000	1.04532836884943	16	-7.83976419670217
64	10	1.20628776516509	157	-1.66935485445234
65	1000	1.02935966377299	9	-7.93512099267505
66	10	1.01725791713741	5	-7.97347893936573
68	1000	1.00548941437758	1	-7.99214653822899
77	100	1.19117860703414	176	-0.173047593953732
81	10	1.01816885802514	23	-7.91051027091402
82	100	1.08523001494216	87	-5.79008433751479
89	1	1.10164710473496	104	-5.18614586940871
94	1000	1.1165116597537	114	-4.80723526800611
95	1000	1.11792657770111	114	-4.82021493033707
97	1000	1.06358213290343	58	-6.81928479317526
99	10	1.06318000511886	56	-6.88280246280587
104	1000	1.1417112769827	123	-4.32032535769581
105	100	1.00525352314864	7	-7.98315634351851
108	100	1.08973468156856	73	-6.53139689269094
111	1	1.08101530977095	60	-6.87948541403447
113	1	1.0811487167744	60	-6.94058041167182
119	100	1.14705054136369	119	-4.23619136753444
120	1	1.07491715822416	53	-7.24667855956515
121	10	1.13879317932303	114	-4.60131879917033
122	100	1.10507357503906	89	-6.37776797801163
123	1000	1.02485544888833	13	-7.91382498554681
125	100	1.04502379790147	26	-7.73923770874148
128	1000	1.01000925548149	4	-7.98422160978726
129	1000	1.0508765699836	37	-7.66143561756804
130	1	1.12076645632499	109	-4.72417317025469
131	100	1.1029630626059	96	-5.59979017936488
134	1000	1.07310898042984	77	-6.80634244271696
136	100	1.0737629827276	80	-6.51580835626796
137	1	1.0412442450977	50	-7.67770527866527
138	10	1.09481666368539	98	-5.2548782163436
139	10	1.0537428464766	68	-7.13330458665204
142	100	1.13618323805074	135	-2.68690366138818
143	10	1.09541787976951	101	-4.89788710849061
144	1000	1.16043690236294	150	-1.1302668372466
147	10	1.11661859267551	121	-3.65019958141786
148	1	1.04161055449205	62	-7.1505425254688
151	1	1.10310342530624	108	-4.40227177237815
153	10	1.03193762658806	52	-7.41013092327571
154	1000	1.05941713099035	71	-6.4039913309025
156	100	1.04808348617202	62	-6.84500514404333
158	1000	1.17239454799696	147	-1.10385097161204
161	1000	1.06669776141368	69	-6.30419686778302
162	10	1.14347019935021	125	-3.1218553122791
164	1	1.01229562600655	27	-7.88708769439138
165	1000	1.00735781358489	19	-7.95221790887076
172	1000	1.02339056153133	29	-7.75542562850046
174	10	1.02759963044797	30	-7.70509165690206
175	10	1.20740705818176	144	-0.903080957231034
177	100	1.01215394158496	16	-7.93232681594215
178	1000	1.04795807671044	36	-7.42399613570928
182	10	1.0487027937399	32	-7.51676180005643
184	1	1.12584091396001	87	-5.78605648187037
186	100	1.11833774178399	79	-6.15020905035581
187	1	1.1883754179459	120	-3.08089631430554
188	100	1.05610559866517	30	-7.53441715870288
190	1	1.02433947993594	13	-7.90687064429619
191	10	1.05838965422426	30	-7.56294755854485
192	10	1.06331526652466	32	-7.50495272686566
193	100	1.21180381205828	132	-1.61121213707911
195	1	1.10419306204047	68	-6.77403719789139
196	1	1.01930800025739	8	-7.95440727980524
198	1000	1.01521689971153	6	-7.97069128166564
199	10	1.10425658356349	73	-6.69074889592118
202	10	1.16949481772122	113	-3.29175247357055
203	10	1.10385396970357	77	-6.47275968779584
206	1000	1.04575271474337	27	-7.75649651262293
207	1000	1.08872717067531	72	-6.70006526316429
210	1	1.1120049008582	86	-5.38044571004834
211	100	1.06933846334256	63	-7.07935861732056
215	10	1.05872819927555	59	-7.19747088505472
217	100	1.0251294402297	25	-7.86281708171785
218	10	1.11914960579266	93	-4.51085483737062
221	1	1.11167163318881	88	-4.7995646044917
222	100	1.06998505541824	65	-6.55440849933657
224	1000	1.03869472891817	46	-7.52809396473348
225	1	1.05280723634095	55	-7.11704607500993
227	1	1.05233292565133	53	-7.11885326004415
229	100	1.07414152639612	62	-6.39191511411204
230	100	1.04770884460547	49	-7.24606528505116
232	100	1.21750339953708	137	-0.381724225852401
233	100	1.04576218442308	46	-7.30651551807604
234	1	1.03544220549695	40	-7.56033822944516
235	100	1.00380339167545	4	-7.98903896408172
237	1	1.02815681360816	33	-7.72236058218923
240	10	1.0756437660932	53	-6.57888768451342
242	1	1.0930600430788	60	-6.1232100507861
246	1	1.22871957724396	128	-1.34426504967549
250	1000	1.10885275696954	60	-6.13081648920049
251	1000	1.1041754629614	56	-6.30871297882064
252	10	1.02218685216963	19	-7.86666601074512
253	1000	1.02745070976039	20	-7.81585961738028
258	10	1.01756404007254	11	-7.93651671321141
261	100	1.01973523094929	10	-7.93772848493785
262	1	1.24668273388351	127	-1.97132254434962
263	1	1.04511535644321	18	-7.75284877993414
264	10	1.0870081008781	34	-7.26907679095838
268	1	1.01313454782358	4	-7.97946265533127
269	1	1.11335338671527	50	-7.01111296285291
271	10	1.14787257747674	69	-6.13484685624991
275	10	1.13075132639823	65	-6.35888040960551
277	100	1.05006526824695	18	-7.81408485206174
280	100	1.03393797422525	12	-7.90921178347178
283	100	1.01737807907456	6	-7.97267179681192
284	1	1.24614086292995	195	-0.0586827384194024
287	1000	1.04263031001998	36	-7.67884139898968
288	100	1.05495529675136	44	-7.34718324077286
289	1	1.06267754129267	47	-7.09945128770015
291	1	1.10754303896934	72	-5.65350182495122
292	10	1.05026475490871	42	-7.32430459960937
293	10	1.07620016701961	53	-6.6175589162684
294	100	1.06884632820685	49	-6.82270998460169
295	1000	1.05447825408084	42	-7.19309025862555
297	100	1.14625071234416	119	-4.5606497742139
298	100	1.01925760278735	22	-7.87218034042678
303	1	1.00392432549755	4	-7.98823071838619
304	1	1.14402276728173	111	-5.23190539775186
305	1000	1.06817803227599	38	-7.1261196849286
306	1	1.02011531121417	17	-7.88218104570977
308	1000	1.07889051145279	39	-7.0497391793044
310	100	1.11861487796457	66	-6.35781768533897
311	100	1.20181486655309	164	-2.66814892749931
312	1	1.0399860849922	20	-7.75041502429945
315	1000	1.03353750717176	15	-7.85079198498861
319	10	1.0159583659288	6	-7.96945050255297
320	1	1.06116089229814	21	-7.68020869187031
323	100	1.16524958661792	147	-3.85985632254915
325	1	1.02770224190864	7	-7.94371748566305
326	1	1.02317392399546	6	-7.95983404908453
329	10	1.11473250958739	127	-5.51506162904839
332	100	1.06527968717055	79	-7.56163850498134
335	100	1.03435651993008	22	-7.87359475438675
336	1000	1.09228540724783	134	-4.43466055038666
337	1000	1.0323209522474	34	-7.85256135523517
340	100	1.02743703821638	60	-7.8346571123281
342	100	1.0910643668027	144	-2.97746629193351
343	1	1.03138048430348	91	-7.31965281798005
344	1	1.06009893346594	121	-5.09818354741013
347	10	1.0627764548834	123	-4.6385938939709
356	100	1.06470873806769	119	-4.39376854447696
362	1	1.00471752707819	46	-7.92992211557104
364	100	1.11403206726166	148	-1.3613527302157
370	10	1.0856736607698	117	-3.76112416553289
371	1000	1.01021456355609	53	-7.76782138876756
374	1	1.09389540130928	117	-3.57075620774721
375	100	1.06489926448083	95	-5.27647521000425
376	100	1.08164962269326	105	-4.42223765236545
378	100	1.10475548812499	119	-3.28178911988244
380	1000	1.06353459006338	87	-5.60471745676939
383	1000	1.07259966483424	89	-5.35899369993091
385	100	1.01546454391628	45	-7.69540364306573
